#rev	#lex	#lex_freq	#homonym	#pos	#grams	#grams2	#flextype	#number	#form2	#form3	#translation	#comment	– не учит., 0 без перевода, ! что-то не так (с синонимами), нужен синоним g посм грам, p местоимения, ? сложно, ?? Непонятно, с — хочется спросить носителя, o — написал свою глоссу, h дефис, s генитив, m - явно опечатка	#gloss									
կերե	երեկ	46241		ADV			N53				yesterday			yesterday	yesterday								
տշիճ	ճիշտ	46179		A			N11				right, true, exact			true	right	true	exact						
նիմրամ	մարմին	46006		N		inanim	N14				body, organ, corpse			body	body	organ	corpse						
մւոնգ	գնում	45919		N		inanim	N32a/N12				purchase			purchase	purchase								
րեկնը	ընկեր	45910		N		anim,hum	N61				friend, pal, companion-in-arms			friend	friend	pal	companion-in-arms						
լետակն	նկատել	45876		V		tr	V11	1			notice, sight, take notice of			notice	notice	sight	take notice of						
լեվթ	թվել	45625		V		tr	V11	1			enumerate, count			count	enumerate	count							
րես	սեր	45591	2	N		inanim	N11				cream			cream	cream								
րես	սեր	45591	1	N		inanim	N92				love			love	love								
մւոտակն	նկատում	45589		N		inanim	N32a/N12				notice			notice	notice								
սեպ	պես	45517		CONJ							as, as soon as			as	as	as soon as							
ղետրո	որտեղ	45485		PRON,ADV,intrg			N11				where			where	where								
գրակ	կարգ	45365		N		inanim	N11				order, category, sort			order	order	category	sort						
ցյւոց	ցույց	45297		N		inanim	N11				demonstration			demonstration	demonstration								
աղտ	տղա	45051		N		anim,hum	N15/N26				boy, son, child			boy	boy	son	child						
լեշորո	որոշել	44944		V		tr	V11	1			decide, define, fix			decide	decide	define	fix						
նականմիհ	հիմնական	44889		A			N12				fundamental, solid			fundamental	fundamental	solid							
մւոշորո	որոշում	44888		N		inanim	N32a/N12				decision, definition, resolution			decision	decision	definition	resolution						
տշիմ	միշտ	44720		ADV							always, all the time			always	always	all the time							
նւոյթւոմտապ	պատմություն	44377		N		inanim	N41				history, story, event			history	history	story	event						
սւե	եւս	44331		CONJ							more, also, too			also	more	also	too						
կսինյւոն	նույնիսկ	43911		PART							even			even	even								
լենահ	հանել	43681		V		tr	V11	1			take/pull out, pull off, undress		c?	pull.out	take/pull out	pull off	undress						
քրաշ	շարք	43620		N		inanim	N11				row, file			file	row	file							
կաճիվ	վիճակ	43533		N		inanim	N12				state, situation, lot			state	state	situation	lot						
մւոցագրազ	զարգացում	43398		N		inanim	N32a/N12				development			development	development								
լազահ	հազալ	43275		V		intr	V21	1			cough			cough	cough								
նւոյթւորավառակ	կառավարություն	43220		N		inanim	N41				government			government	government								
դրորկրե	երկրորդ	42874		NUM,A			N12	002!			second, secondly			second	second	secondly							
ւոզել	լեզու	42634		N		inanim	N16				tongue, language		c?	tongue	tongue	language							
րեբրատ	տարբեր	42488		A			N12				different, distinct, various			different	different	distinct	various						
քնւոյդրա	արդյունք	42138		N		inanim	N12				product, result			product	product	result							
լեդոհ	հոդել	41978		V		tr	V11	1			join, adjoin			join	join	adjoin							
րիգարծ	ծրագիր	41901		N		inanim	N13				programme, program, plan			program	programme	program	plan						
ռւոդ	դուռ	41699		N		inanim	N32b				door, gate		c?	gate	door	gate							
ծավդոհ	հոդված	41548		N		inanim	N12				article, paragraph			article	article	paragraph							
լեվդոհ	հոդվել	41548		V	med	intr	V11	2			be joined			be.joined	be joined								
կանիրօ	օրինակ	41254		N		inanim	N12				example, specimen, copy			example	example	specimen	copy						
պրեկ	կերպ	41231		N		inanim	N11				manner, means, appearance			manner	manner	means	appearance						
լերդնխ	խնդրել	41153		V		tr	V11	1			request, ask (smb.), ask for smth.			request	request	ask (smb.)	ask for smth.						
լեձրոփ	փորձել	41074		V		tr	V11	1			attempt, feel, try		c?	attempt	attempt	feel	try						
լեցկանսամ	մասնակցել	40994		V		intr	V11	1			take part/participate/be (in), have a share/hand (in), collaborate (in)			take.part	take part/participate/be (in)	have a share/hand (in)	collaborate (in)						
ցիրոն	նորից	40548		ADV							anew, once again/more		c?	anew	anew	once again/more							
բմամտակն	նկատմամբ	40547		POST							with respect (to), in respect (of, to)			in.respect.to	with respect (to)	in respect (of	to)						
նւոյթւոտեպ	պետություն	40546		N		inanim	N41				State			state	State								
դրւոհրոխ	խորհուրդ	40490	2	N		inanim	N14				advice			advice	advice								
դրւոհրոխ	խորհուրդ	40490	1	N		inanim	N14/N12				council			council	council								
քմեդ	դեմք	40434		N		inanim	N11				face, person		c?	face	face	person							
րքոփ	փոքր	40146		A			N11				small, younger, junior			small	small	younger	junior						
լենցրեվ	վերցնել	40077		V	caus	tr	V14	1			take, shoulder		c?	take	take	shoulder							
րովախլգ	գլխավոր	40046		A			N12				main, cardinal, head			main	main	cardinal	head						
սիմա	ամիս	39924		N		inanim	N52/N14				month			month	month								
ահ	հա	39827		PART							yes			yes	yes								
